File Name,Average Precision with Candidate Guidance,Average Precision without Candidate Guidance,Average Sequence Matcher Similarity with Candidate Guidance,Average Sequence Matcher Similarity without Candidate Guidance
exercise_5_06_itoa_result,26.723553756169686,12.688310994493317,29.859240308441514,13.06018821236229
exercise_8_06_calloc_result,31.35652973466393,16.9227584403734,30.55674814468709,16.136314830706844
exercise_2_04_squeeze_result,27.39529923043696,15.9987767623648,27.741364617048976,15.372454886554968
exercise_1_23_c_remove_comments_result,26.527095525457224,12.788238078248138,24.579483346803485,10.845675036999406
exercise_2_05_any_result,28.139978054464326,17.159251142620008,29.28264952420927,17.66369794979506
exercise_6_04_words_frequency_result,28.49270002795015,16.59178598011254,29.592157942094538,17.960401678296257
exercise_5_05_strncat_result,30.562015409730016,9.39153855669915,35.571561668045284,10.750063569251758
exercise_2_03_htoi_result,25.410145865416688,11.894073561584166,25.679233016172603,10.444747348257623
exercise_1_11_word_count_test_result,37.508052611321844,17.065897372106384,36.18334081446997,12.96828179123375
exercise_5_13_tail_result,27.840911332597624,13.916637142183506,27.845025944268116,14.115267168978166
exercise_4_06_variables_result,28.807694846736517,15.820933319628878,29.14276433608041,15.727585174977607
exercise_1_24_check_syntax_result,28.44412588603683,16.86292207738257,26.44729067099531,14.961566613078551
exercise_5_06_atoi_result,28.394086070508564,16.007785206676054,30.450669478681487,17.336192353716807
exercise_1_13_histogram_result,34.46910626952013,19.822158099090846,31.476757970483472,16.15202295445439
exercise_1_08_count_b_t_n_result,47.13566162923161,24.29614066535278,43.88743673479934,21.258679431367305
exercise_5_05_strncmp_result,27.998841123854135,14.18244221525044,29.14973838863954,13.474421080983062
exercise_2_02_loop_result,30.75420269069412,18.37078939796326,29.02923400030741,14.161859314403728
exercise_2_10_lower_result,34.88910342561725,16.74808826231891,41.17352894289258,19.6747324282395
exercise_7_04_minscanf_result,29.210028621377475,17.12676940552383,31.032899558432163,16.97395783205341
exercise_7_01_case_result,27.540617207760093,13.485909690595426,30.81674828639595,13.997707697582392
exercise_5_06_getline_result,29.678887053158284,16.45688496325474,32.01604405538275,15.199529673779333
exercise_8_08_bfree_result,31.82913960173613,17.222873451541414,30.740012460804877,16.50259996526927
exercise_5_01_getint_result,30.779022193531524,13.889870991291831,31.043222794674975,12.286353367952819
exercise_5_06_strindex_result,24.76967484964164,13.071858982280764,24.338558197647703,11.23617597567756
exercise_3_02_escape_result,30.317428754556456,17.863949364962775,29.225595179107643,15.351066885638417
exercise_4_09_getch_result,40.331420112206644,21.57643144507333,45.54559246623134,24.859457701981373
exercise_1_03_fahrenheit_celsius_result,29.239769997087645,17.850407655642798,38.10497294923522,23.054387976382596
exercise_3_05_itob_result,26.857566362640767,12.104608854932184,30.29320162458341,13.908288491910422
exercise_4_02_atof_result,25.427831779780675,13.298841606513326,24.759650425582084,12.180906420139339
exercise_2_06_setbits_result,21.92618802149466,13.229195332719295,24.34548179577042,15.581981450184431
exercise_7_09_isupper_result,30.19153968669019,14.611258032882551,33.42674644071688,15.230886513864661
exercise_8_07_malloc_free_result,31.899714239642066,16.507904517147335,30.785045327950172,15.471695031230379
exercise_1_06_verify_expression_result,37.56095841114224,16.831766153916885,40.1178509077391,17.879535401646418
exercise_1_15_temperature_conversion_result,34.370182453528905,15.804182948127293,40.51664947735854,19.044131492498906
exercise_5_02_getfloat_result,26.260260728044365,13.678474450905178,26.57242189296406,12.972505126640845
exercise_1_07_print_eof_result,43.13892190152802,12.300807036101155,42.64594363636737,16.34441884466954
exercise_5_09_date_conversion_pointers_result,27.314279245881252,15.560117382002653,33.109043179114565,20.09132269880055
exercise_1_18_trailing_blanks_result,26.24613912360248,13.217841139968693,30.537793694398303,13.791256012478348
exercise_1_09_copy_io_result,38.5391221729741,15.24574091755909,37.37162785710046,17.855853388660954
exercise_5_17_sort_result,25.808998162526855,13.356915214850169,26.06082379710913,13.16054011547495
exercise_3_01_binsearch_result,27.111617364741694,16.171924941518505,30.38836967820438,17.847242193483865
exercise_1_12_copy_io_nl_result,43.60411820823156,18.903251681402903,40.180145351926036,15.430331779163097
exercise_5_12_entab_result,29.0330011045726,15.605492581392772,25.824516365194444,12.413938263323457
exercise_8_05_fsize_result,27.67160721970016,15.738356972340522,30.97913423946666,18.08820882300917
Mean,29.798831963395962,15.769565093119304,30.982627742304985,15.806197176988782
